FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Matt,Butcher,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,174,0,0,0,0,0,0,0,0.0,12,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,206,0,0,0,0,0,9,0,0,0,Liverpool,Man Utd,Southampton,Swansea,Burnley,0.0,2017,33,Y17W33
Jack,Butland,GLK,STK,5000000,1,102,3.4,6.8e-07,2.04e-05,0,175728,0,56,0,123,0,0,0,20.4,3869,0,0,102,0,0.5,0,2.3,12,0,5,0,0,2.5,151326,1,0,0,2,2700,417,0,0,579,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,85.4,2017,33,Y17W33
Sam,Byram,DEF,WHU,4200000,0,5,1.0,2.38095238095238e-07,1.19047619047619e-06,0,10606,1,7,0,0,0,0,0,1.2,87,-3,0,5,3,0.0,0,0.0,0,0,0,0,0,0.1,3373,0,0,0,0,246,18,0,0,41,Stoke,Arsenal,Man City,Leicester,Man Utd,14.5,2017,33,Y17W33
Willy,Caballero,GLK,CHE,4800000,0,9,0.28125,5.859375e-08,1.875e-06,0,12601,0,3,0,6,0,0,0,1.9,692,-2,0,9,2,0.2,0,1.0,0,0,1,0,0,0.1,10633,0,0,0,0,180,179,0,0,43,Southampton,Burnley,Swansea,Liverpool,Huddersfield,4.5,2017,33,Y17W33
Yohan,Cabaye,MID,CRY,5300000,4,61,1.8484848484848504,3.48770726129217e-07,1.15094339622642e-05,0,34664,6,33,0,0,0,0,0,11.5,85,-2,0,61,2,0.5,0,2.7,3,0,5,0,4,0.2,19244,0,0,0,0,1972,297,0,0,356,Brighton,Watford,Leicester,Stoke,West Brom,137.3,2017,33,Y17W33
Gary,Cahill,DEF,CHE,6200000,2,59,1.84375,2.9737903225806496e-07,9.51612903225807e-06,0,607443,0,21,0,0,0,0,0,9.5,636,-3,0,59,3,0.2,0,1.0,2,0,7,0,0,3.0,85893,0,0,0,0,1632,861,0,1,348,Southampton,Burnley,Swansea,Liverpool,Huddersfield,53.3,2017,33,Y17W33
Dominic,Calvert-Lewin,FWD,EVE,5000000,1,87,2.8,5.6e-07,1.74e-05,0,1132373,4,28,0,0,0,4,0,17.4,14830,0,0,87,0,0.7,0,3.3,3,0,6,0,8,4.6,1289452,0,0,0,1,1840,9853,0,0,255,Swansea,Newcastle,Huddersfield,Southampton,West Ham,129.5,2017,33,Y17W33
Rafael,Camacho,MID,LIV,4500000,0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,32,0,0,0,0,0,32,0,0,0,Bournemouth,West Brom,Stoke,Chelsea,Brighton,0.0,2017,33,Y17W33
Geoff,Cameron,DEF,STK,4300000,0,32,1.7,3.95348837209302e-07,7.44186046511628e-06,0,42838,2,29,0,0,0,0,0,7.4,360,-2,0,32,2,0.0,0,0.0,0,0,2,0,0,0.3,31494,0,0,0,0,1494,36,0,0,219,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,38.8,2017,33,Y17W33
Tyrese,Campbell,FWD,STK,4500000,1,2,0.0606060606060606,1.3468013468013501e-08,4.44444444444444e-07,0,11662,0,1,0,0,0,0,0,0.4,2343,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0.5,34846,0,0,0,0,47,8747,0,0,5,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,1.9,2017,33,Y17W33
Emre,Can,MID,LIV,4900000,0,92,3.5,7.142857142857141e-07,1.87755102040816e-05,0,705517,8,29,0,0,0,3,0,18.8,24374,-1,0,92,1,0.1,0,0.3,10,0,8,0,6,4.5,549991,0,0,0,2,2089,118,0,0,499,Bournemouth,West Brom,Stoke,Chelsea,Brighton,120.6,2017,33,Y17W33
Etienne,Capoue,MID,WAT,4800000,2,39,1.18181818181818,2.462121212121211e-07,8.125e-06,0,299495,3,25,0,0,0,1,0,8.1,478,-7,0,39,7,0.4,0,2.0,0,0,3,0,1,1.4,42189,0,0,0,0,1177,192,0,0,193,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,49.0,2017,33,Y17W33
Michael,Carrick,MID,MUN,4200000,0,1,0.03125,7.440476190476189e-09,2.38095238095238e-07,0,116861,0,0,0,0,0,0,0,0.2,884,-3,0,1,3,0.0,0,0.0,0,0,0,0,0,0.8,89271,0,0,0,0,24,386,0,0,0,West Brom,Bournemouth,Arsenal,Brighton,West Ham,5.1,2017,33,Y17W33
Andre,Carrillo,MID,WAT,5400000,1,63,2.3,4.25925925925926e-07,1.1666666666666698e-05,0,11666,2,31,0,0,0,1,0,11.5,132,-1,1,63,1,0.1,0,0.3,4,0,4,0,3,0.1,13186,0,0,0,0,1522,32,-1,0,270,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,85.8,2017,33,Y17W33
Guido,Carrillo,FWD,SOU,6100000,0,15,0.46875,7.6844262295082e-08,2.45901639344262e-06,0,12843,0,8,0,0,0,0,0,2.4,585,-4,1,15,4,0.1,0,0.5,0,0,1,0,1,0.1,15560,0,0,0,0,449,62,-1,0,40,Chelsea,Leicester,Bournemouth,Everton,Swansea,29.4,2017,33,Y17W33
Andy,Carroll,FWD,WHU,5700000,0,25,2.1,3.6842105263157896e-07,4.3859649122807e-06,0,103443,5,12,0,0,0,2,0,4.4,104,-3,0,25,3,0.0,0,0.0,3,0,3,0,1,0.2,103398,0,0,0,1,695,35,0,1,71,Stoke,Arsenal,Man City,Leicester,Man Utd,49.8,2017,33,Y17W33
Tom,Carroll,MID,SWA,4300000,2,69,2.2,5.11627906976744e-07,1.6046511627907e-05,0,657311,3,30,0,0,0,0,0,16.0,9665,-2,0,69,2,0.3,0,1.5,3,0,7,0,3,4.2,579890,0,0,0,0,2167,2053,0,0,356,Everton,Man City,Chelsea,Bournemouth,Southampton,107.3,2017,33,Y17W33
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,703,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,378,0,0,0,0,0,1,0,0,0,Man City,Brighton,Watford,West Brom,Newcastle,0.0,2017,33,Y17W33
Craig,Cathcart,DEF,WAT,4400000,0,2,0.0606060606060606,1.37741046831956e-08,4.54545454545455e-07,0,1178,0,1,0,0,0,0,0,0.5,13,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0.0,389,0,0,0,0,45,12,0,0,8,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0.6,2017,33,Y17W33
Diego,Cavalieri,GLK,CRY,4000000,0,0,0.0,0.0,0.0,0,261,0,0,0,0,0,0,0,0.0,48,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,891,0,0,0,0,0,115,0,0,0,Brighton,Watford,Leicester,Stoke,West Brom,0.0,2017,33,Y17W33
Santiago,Cazorla,MID,ARS,6900000,0,0,0.0,0.0,0.0,0,2560,0,0,0,0,0,0,0,0.0,26,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,1060,0,0,0,0,0,14,0,0,0,Newcastle,West Ham,Man Utd,Burnley,Leicester,0.0,2017,33,Y17W33
Petr,Cech,GLK,ARS,5300000,2,114,3.7,6.981132075471699e-07,2.15094339622642e-05,0,275066,1,43,0,79,0,0,0,21.5,6494,-2,0,114,2,0.2,0,1.0,7,0,10,0,0,4.4,163562,0,0,1,1,2769,1359,0,0,564,Newcastle,West Ham,Man Utd,Burnley,Leicester,63.8,2017,33,Y17W33
,Cedric,DEF,SOU,4700000,9,65,2.5,5.31914893617021e-07,1.38297872340426e-05,0,714173,1,38,0,0,0,0,0,13.8,2120,-3,0,65,3,1.1,0,5.0,2,0,5,0,2,3.5,278902,0,0,0,1,2254,22164,0,0,393,Chelsea,Leicester,Bournemouth,Everton,Swansea,94.8,2017,33,Y17W33
Nacer,Chadli,MID,WBA,5600000,0,13,0.393939393939394,7.034632034632031e-08,2.32142857142857e-06,0,39630,1,2,0,0,0,1,0,2.3,16,-4,0,13,4,0.0,0,0.0,3,0,1,0,0,0.2,9734,0,0,0,1,174,15,0,0,30,Man Utd,Liverpool,Newcastle,Tottenham,Crystal Palace,10.1,2017,33,Y17W33
Nathaniel,Chalobah,MID,WAT,4200000,0,12,2.4,5.714285714285712e-07,2.8571428571428602e-06,0,206222,1,7,0,0,0,0,0,2.9,435,-3,0,12,3,0.0,0,0.0,0,0,3,0,0,0.8,130163,0,0,0,0,429,201,0,0,37,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,19.6,2017,33,Y17W33
Trevoh,Chalobah,DEF,CHE,4000000,0,0,0.0,0.0,0.0,0,373,0,0,0,0,0,0,0,0.0,90,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1021,0,0,0,0,0,179,0,0,0,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0.0,2017,33,Y17W33
,Chamberlain,MID,LIV,5600000,1,85,2.57575757575758,4.5995670995670997e-07,1.5178571428571398e-05,0,431778,2,26,0,0,0,3,0,15.2,10466,-4,0,85,4,0.2,0,1.0,5,0,4,0,5,2.9,389522,0,0,0,0,1604,7380,0,0,388,Bournemouth,West Brom,Stoke,Chelsea,Brighton,153.3,2017,33,Y17W33
Calum,Chambers,DEF,ARS,4700000,1,14,0.4375,9.308510638297867e-08,2.97872340425532e-06,0,26533,1,10,0,0,0,0,0,3.0,499,-3,0,14,3,0.7,0,3.5,0,0,1,0,0,0.3,13293,0,0,0,0,619,1171,0,0,114,Newcastle,West Ham,Man Utd,Burnley,Leicester,30.4,2017,33,Y17W33
,Chicharito,FWD,WHU,6700000,7,90,3.6,5.37313432835821e-07,1.34328358208955e-05,0,1933326,3,32,0,0,0,8,0,13.4,4996,-3,0,90,3,0.5,0,3.5,14,0,6,0,2,7.5,1261137,0,0,0,2,1469,8967,0,0,302,Stoke,Arsenal,Man City,Leicester,Man Utd,108.9,2017,33,Y17W33
Benjamin,Chilwell,DEF,LEI,4400000,1,57,1.78125,4.0482954545454493e-07,1.29545454545455e-05,0,87285,1,23,0,0,0,0,0,13.0,4849,-1,0,57,1,1.4,0,6.0,3,0,5,0,2,4.7,311548,0,0,0,1,1578,78817,0,1,308,Burnley,Southampton,Crystal Palace,West Ham,Arsenal,63.0,2017,33,Y17W33
Hamza,Choudhury,MID,LEI,4400000,1,2,0.0625,1.42045454545455e-08,4.54545454545455e-07,0,370,0,1,0,0,0,0,0,0.5,12,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0.0,587,0,0,0,0,55,127,0,0,8,Burnley,Southampton,Crystal Palace,West Ham,Arsenal,1.1,2017,33,Y17W33
Eric Maxim,Choupo-Moting,MID,STK,5300000,0,107,3.6,6.79245283018868e-07,2.0188679245283e-05,0,790107,3,45,0,0,0,5,0,20.2,11245,-2,0,107,2,0.4,0,2.0,9,0,5,0,5,2.2,846989,0,0,0,2,2241,46,0,0,341,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,168.1,2017,33,Y17W33
Andreas,Christensen,DEF,CHE,5300000,0,75,3.1,5.849056603773577e-07,1.4150943396226403e-05,0,480163,0,17,0,0,0,0,0,14.2,8241,-2,0,75,2,0.1,0,0.5,4,0,8,0,0,2.6,581131,0,0,0,0,1797,13933,0,0,422,Southampton,Burnley,Swansea,Liverpool,Huddersfield,52.1,2017,33,Y17W33
Ciaran,Clark,DEF,NEW,4300000,0,64,3.2,7.441860465116279e-07,1.4883720930232598e-05,0,271237,3,30,0,0,0,2,0,14.9,3841,-2,1,64,2,0.0,0,0.0,6,0,4,0,1,1.6,293754,0,0,0,1,1745,442,-1,0,317,Arsenal,Everton,West Brom,Watford,Tottenham,67.5,2017,33,Y17W33
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,18832,0,0,0,0,0,0,0,0.0,24,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,4027,0,0,0,0,0,1,0,0,0,Chelsea,Leicester,Bournemouth,Everton,Swansea,0.0,2017,33,Y17W33
Tom,Cleverley,MID,WAT,5000000,0,58,2.5,5e-07,1.16e-05,0,102631,1,33,0,0,0,1,0,11.6,191,0,0,58,0,0.0,1,0.0,3,0,6,0,2,0.4,102443,0,0,0,1,1900,8,0,1,300,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,92.1,2017,33,Y17W33
Sam,Clucas,MID,SWA,4700000,5,69,2.8,5.95744680851064e-07,1.46808510638298e-05,0,45869,2,27,0,0,0,3,0,14.7,3192,-3,0,69,3,0.6,0,3.0,4,0,5,0,1,0.4,68048,0,0,0,1,1812,511,0,0,280,Everton,Man City,Chelsea,Bournemouth,Southampton,68.7,2017,33,Y17W33
Nathaniel,Clyne,DEF,LIV,5300000,6,6,0.181818181818182,3.43053173241853e-08,1.13207547169811e-06,0,28221,0,0,0,0,0,0,0,1.1,191,-2,0,6,2,0.4,0,2.0,0,0,1,0,0,0.2,2093,0,0,0,0,90,443,0,0,19,Bournemouth,West Brom,Stoke,Chelsea,Brighton,1.9,2017,33,Y17W33
Jack,Colback,MID,NEW,4200000,0,0,0.0,0.0,0.0,0,117164,0,0,0,0,0,0,0,0.0,540,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.7,113539,0,0,0,0,0,26,0,0,0,Arsenal,Everton,West Brom,Watford,Tottenham,0.0,2017,33,Y17W33
Joel,Coleman,GLK,HUD,4000000,0,0,0.0,0.0,0.0,0,93732,0,0,0,0,0,0,0,0.0,4512,0,0,0,0,0.0,0,0.0,0,0,0,0,0,4.0,208207,0,0,0,0,0,154,0,0,0,Watford,Everton,Man City,Chelsea,Arsenal,0.0,2017,33,Y17W33
Seamus,Coleman,DEF,EVE,6400000,6,22,0.666666666666667,1.04166666666667e-07,3.4375e-06,0,27321,0,7,0,0,0,0,0,3.4,1757,-1,0,22,1,0.5,0,3.0,0,0,2,0,1,0.4,29827,0,0,0,0,585,940,0,0,113,Swansea,Newcastle,Huddersfield,Southampton,West Ham,19.9,2017,33,Y17W33
James,Collins,DEF,WHU,4300000,0,35,1.09375,2.54360465116279e-07,8.139534883720933e-06,0,33700,3,19,0,0,0,1,0,8.1,1230,-2,0,35,2,0.0,0,0.0,3,0,3,0,0,0.3,31645,0,0,0,0,1047,9,0,0,198,Stoke,Arsenal,Man City,Leicester,Man Utd,44.4,2017,33,Y17W33
Francis,Coquelin,MID,ARS,4300000,0,7,1.0,2.3255813953488398e-07,1.62790697674419e-06,0,41327,0,6,0,0,0,0,0,1.6,77,-2,0,7,2,0.0,0,0.0,0,0,0,0,0,0.5,15796,0,0,0,0,164,3,0,0,35,Newcastle,West Ham,Man Utd,Burnley,Leicester,4.8,2017,33,Y17W33
Jack,Cork,MID,BUR,4500000,10,87,2.7,6e-07,1.93333333333333e-05,0,374150,7,28,0,0,0,2,0,19.3,4810,0,0,87,0,1.2,0,5.5,6,0,11,0,1,4.0,523092,0,0,0,1,2880,61725,0,0,454,Leicester,Chelsea,Stoke,Brighton,Arsenal,104.0,2017,33,Y17W33
,Costa,FWD,CHE,9500000,0,0,0.0,0.0,0.0,0,66509,0,0,0,0,0,0,0,0.0,31,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.4,2447,0,0,0,0,0,8,0,0,0,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0.0,2017,33,Y17W33
Thibaut,Courtois,GLK,CHE,5300000,2,115,3.8,7.16981132075472e-07,2.16981132075472e-05,0,869770,1,28,0,59,0,0,0,21.3,6110,-2,1,115,2,0.2,0,1.0,2,0,13,0,0,10.5,503870,0,0,0,0,2700,13494,-1,0,528,Southampton,Burnley,Swansea,Liverpool,Huddersfield,42.6,2017,33,Y17W33
Philippe,Coutinho,MID,LIV,9100000,0,103,7.4,8.131868131868129e-07,1.13186813186813e-05,0,1729686,0,14,0,0,0,7,0,11.3,611,1,0,103,-1,0.0,0,0.0,15,0,5,0,7,3.0,1531114,0,0,0,4,1109,5,0,0,381,Bournemouth,West Brom,Stoke,Chelsea,Brighton,169.4,2017,33,Y17W33
Martin,Cranie,DEF,HUD,4000000,0,2,0.7,1.75e-07,5e-07,0,25068,0,7,0,0,0,0,0,0.5,130,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.2,24152,0,0,0,0,179,6,0,0,35,Watford,Everton,Man City,Chelsea,Arsenal,4.7,2017,33,Y17W33
Aaron,Cresswell,DEF,WHU,5000000,2,95,3.2,6.4e-07,1.9e-05,0,303418,5,50,0,0,0,0,0,19.0,19720,0,0,95,0,0.8,0,4.0,10,0,8,0,6,2.0,415782,0,0,0,0,2532,1112,0,0,504,Stoke,Arsenal,Man City,Leicester,Man Utd,120.1,2017,33,Y17W33
Peter,Crouch,FWD,STK,4800000,1,57,2.2,4.58333333333333e-07,1.1875e-05,0,388066,1,24,0,0,0,3,0,11.9,4543,-2,0,57,2,0.3,0,1.3,4,0,0,0,2,2.2,364487,0,0,0,0,1221,2926,0,0,165,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,81.5,2017,33,Y17W33
Josh,Cullen,MID,WHU,4500000,1,2,0.0625,1.3888888888888902e-08,4.44444444444444e-07,0,455,0,0,0,0,0,0,0,0.4,21,0,0,2,0,0.2,0,1.0,0,0,0,0,0,0.0,766,0,0,0,0,6,20,0,0,7,Stoke,Arsenal,Man City,Leicester,Man Utd,0.8,2017,33,Y17W33
James,Daly,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,555,0,0,0,0,0,0,0,0.0,555,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2283,0,0,0,0,0,2283,0,0,0,Brighton,Watford,Leicester,Stoke,West Brom,0.0,2017,33,Y17W33
Charlie,Daniels,DEF,BOU,4700000,1,80,2.7,5.744680851063828e-07,1.70212765957447e-05,0,1129776,0,42,0,0,0,1,0,17.0,15778,-3,0,80,3,0.5,0,2.3,4,0,5,0,2,7.3,587389,0,0,0,0,2551,4526,0,0,499,Liverpool,Man Utd,Southampton,Swansea,Burnley,109.0,2017,33,Y17W33
,Danilo,DEF,MCI,5000000,0,73,2.28125,4.5625e-07,1.46e-05,0,434301,2,10,0,0,0,2,0,14.6,5962,-5,0,73,5,0.1,0,0.5,5,0,7,0,1,2.5,319194,0,0,0,1,1041,1020,0,0,298,Tottenham,Swansea,West Ham,Huddersfield,Brighton,52.5,2017,33,Y17W33
Scott,Dann,DEF,CRY,4600000,0,32,1.9,4.1304347826086996e-07,6.95652173913044e-06,0,87886,4,26,0,0,0,1,0,7.0,81,-4,0,32,4,0.0,0,0.0,0,0,1,0,0,0.3,39454,0,0,0,0,1434,15,0,0,211,Brighton,Watford,Leicester,Stoke,West Brom,67.0,2017,33,Y17W33
Karl,Darlow,GLK,NEW,4300000,0,33,1.03125,2.39825581395349e-07,7.674418604651157e-06,0,30999,0,15,0,35,0,0,0,7.5,544,-2,1,33,2,0.0,0,0.0,2,0,2,0,0,0.3,25165,1,0,0,1,900,74,-1,0,172,Arsenal,Everton,West Brom,Watford,Tottenham,25.9,2017,33,Y17W33
Matteo,Darmian,DEF,MUN,4900000,0,10,0.3125,6.37755102040816e-08,2.04081632653061e-06,0,33566,0,2,0,0,0,0,0,2.0,64,-6,0,10,6,0.0,0,0.0,0,0,1,0,0,0.2,7244,0,0,0,0,196,29,0,0,49,West Brom,Bournemouth,Arsenal,Brighton,West Ham,4.8,2017,33,Y17W33
,David Luiz,DEF,CHE,5700000,0,32,1.0,1.75438596491228e-07,5.6140350877193e-06,0,1193938,3,13,0,0,0,1,0,5.6,840,-3,0,32,3,0.0,0,0.0,0,0,3,0,2,8.1,326757,0,0,0,0,838,23,0,1,186,Southampton,Burnley,Swansea,Liverpool,Huddersfield,29.6,2017,33,Y17W33
,David Silva,MID,MCI,8200000,2,154,5.9,7.195121951219509e-07,1.8780487804878e-05,0,2429382,5,17,0,0,0,8,0,18.8,68649,2,0,154,-2,0.8,0,6.5,24,0,12,0,11,11.0,2631609,0,0,0,5,2161,20309,0,0,601,Tottenham,Swansea,West Ham,Huddersfield,Brighton,260.7,2017,33,Y17W33
Ben,Davies,DEF,TOT,5900000,0,129,5.2,8.813559322033899e-07,2.1864406779660997e-05,0,1811069,2,16,0,0,0,2,0,21.9,62428,4,0,129,-4,0.3,0,2.0,14,0,10,0,7,22.2,2626796,0,0,0,4,1963,24545,0,0,544,Man City,Brighton,Watford,West Brom,Newcastle,138.6,2017,33,Y17W33
Tom,Davies,MID,EVE,5100000,3,53,1.8,3.5294117647058796e-07,1.0392156862745097e-05,0,71865,6,20,0,0,0,1,0,10.4,442,-4,0,53,4,0.3,0,1.7,0,0,6,0,2,0.4,41353,0,0,0,0,1655,192,0,0,179,Swansea,Newcastle,Huddersfield,Southampton,West Ham,54.0,2017,33,Y17W33
Steven,Davis,MID,SOU,4700000,0,70,2.1875,4.65425531914894e-07,1.48936170212766e-05,0,453729,0,21,0,0,0,3,0,14.9,1458,-3,0,70,3,0.0,0,0.0,6,0,4,0,2,1.4,482674,0,0,0,2,1483,279,0,0,334,Chelsea,Leicester,Bournemouth,Everton,Swansea,82.4,2017,33,Y17W33
Craig,Dawson,DEF,WBA,4800000,2,64,2.8,5.83333333333333e-07,1.33333333333333e-05,0,330243,5,35,0,0,0,2,0,13.3,3501,-2,0,64,2,0.2,0,1.0,3,0,5,0,0,1.5,122050,0,0,0,1,2060,95,0,0,348,Man Utd,Liverpool,Newcastle,Tottenham,Crystal Palace,90.1,2017,33,Y17W33
Kevin,De Bruyne,MID,MCI,10300000,1,189,5.9,5.72815533980583e-07,1.8349514563106798e-05,0,2348703,1,20,0,0,0,7,0,18.2,129020,3,1,189,-3,0.3,0,3.0,25,0,16,0,17,21.7,2005718,0,0,0,5,2675,5068,-1,0,800,Tottenham,Swansea,West Ham,Huddersfield,Brighton,335.8,2017,33,Y17W33
David,de Gea,GLK,MUN,5900000,2,152,4.8,8.13559322033898e-07,2.57627118644068e-05,0,1005899,0,25,0,103,0,0,0,25.8,7720,4,0,152,-4,0.7,0,4.0,10,0,16,0,0,45.7,1410484,0,0,0,0,2880,72055,0,0,666,West Brom,Bournemouth,Arsenal,Brighton,West Ham,74.3,2017,33,Y17W33
Siem,de Jong,MID,NEW,4900000,0,0,0.0,0.0,0.0,0,9751,0,0,0,0,0,0,0,0.0,8,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,528,0,0,0,0,0,0,0,0,0,Arsenal,Everton,West Brom,Watford,Tottenham,0.0,2017,33,Y17W33
Mathieu,Debuchy,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,1637,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1477,0,0,0,0,0,0,0,0,0,Newcastle,West Ham,Man Utd,Burnley,Leicester,0.0,2017,33,Y17W33
Troy,Deeney,FWD,WAT,6300000,2,67,2.8,4.44444444444444e-07,1.06349206349206e-05,0,110388,1,29,0,0,0,5,0,10.6,9504,-2,0,67,2,0.3,1,2.0,7,0,4,0,2,1.0,117904,0,0,0,1,1552,1944,0,1,226,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,100.7,2017,33,Y17W33
Jermain,Defoe,FWD,BOU,7600000,2,52,1.57575757575758,2.07336523125997e-07,6.8421052631578906e-06,0,213389,1,19,0,0,0,4,0,6.8,846,-4,0,52,4,0.4,0,3.0,5,0,2,0,1,1.4,53478,0,0,0,1,948,794,0,0,163,Liverpool,Man Utd,Southampton,Swansea,Burnley,80.1,2017,33,Y17W33
Steven,Defour,MID,BUR,5400000,0,62,2.6,4.81481481481482e-07,1.14814814814815e-05,0,34378,6,17,0,0,0,1,0,11.5,85,-1,0,62,1,0.0,0,0.0,0,0,12,0,1,0.3,26897,0,0,0,0,1998,12,0,0,353,Leicester,Chelsea,Stoke,Brighton,Arsenal,78.4,2017,33,Y17W33
Damien,Delaney,DEF,CRY,4200000,0,1,0.0303030303030303,7.215007215007219e-09,2.38095238095238e-07,0,24821,0,5,0,0,0,0,0,0.2,91,-3,0,1,3,0.0,0,0.0,0,0,0,0,0,0.2,4642,0,0,0,0,95,77,0,0,19,Brighton,Watford,Leicester,Stoke,West Brom,4.0,2017,33,Y17W33
Fabian,Delph,MID,MCI,4500000,2,44,1.375,3.05555555555556e-07,9.77777777777778e-06,0,120869,1,15,0,0,0,1,0,9.8,278,0,0,44,0,0.2,0,1.0,0,0,5,0,1,0.4,118732,0,0,0,0,1372,602,0,0,312,Tottenham,Swansea,West Ham,Huddersfield,Brighton,55.3,2017,33,Y17W33
Mousa,Dembele,MID,TOT,4900000,2,47,1.46875,2.9974489795918396e-07,9.59183673469388e-06,0,174914,5,19,0,0,0,0,0,9.6,1433,-1,0,47,1,0.4,0,2.0,3,0,6,0,0,1.8,104007,0,0,0,0,1725,3000,0,0,313,Man City,Brighton,Watford,West Brom,Newcastle,63.2,2017,33,Y17W33
Laurent,Depoitre,FWD,HUD,5100000,1,81,2.9,5.68627450980392e-07,1.5882352941176503e-05,0,651604,1,32,0,0,0,5,0,15.9,11726,-4,0,81,4,0.2,0,1.0,11,0,4,0,2,2.5,769127,0,0,0,1,1624,1549,0,0,247,Watford,Everton,Man City,Chelsea,Arsenal,84.4,2017,33,Y17W33
Gerard,Deulofeu,MID,WAT,5500000,0,21,5.3,9.63636363636364e-07,3.81818181818182e-06,0,245427,0,2,0,0,0,1,0,3.8,2701,-5,1,21,5,0.0,0,0.0,3,0,2,0,1,0.5,267784,0,0,0,1,311,12,-1,0,79,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,27.4,2017,33,Y17W33
Fousseni,Diabate,FWD,LEI,5000000,2,10,0.3125,6.25e-08,2e-06,0,9700,1,6,0,0,0,0,0,2.0,541,0,0,10,0,0.3,0,1.5,0,0,0,0,0,0.1,14516,0,0,0,0,334,695,0,0,27,Burnley,Southampton,Crystal Palace,West Ham,Arsenal,10.2,2017,33,Y17W33
Mohamed,Diame,MID,NEW,4600000,3,59,2.4,5.217391304347828e-07,1.2826086956521699e-05,0,20821,1,21,0,0,0,2,0,12.8,767,-4,0,59,4,0.7,0,3.0,3,0,5,0,0,0.2,18266,0,0,0,0,1505,553,0,0,254,Arsenal,Everton,West Brom,Watford,Tottenham,61.4,2017,33,Y17W33
Grady,Diangana,MID,WHU,4500000,0,0,0.0,0.0,0.0,0,34,0,0,0,0,0,0,0,0.0,25,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,147,0,0,0,0,0,89,0,0,0,Stoke,Arsenal,Man City,Leicester,Man Utd,0.0,2017,33,Y17W33
Brahim,Diaz,MID,MCI,4700000,0,3,0.09375,1.99468085106383e-08,6.382978723404259e-07,0,4264,0,1,0,0,0,0,0,0.6,22,-3,0,3,3,0.0,0,0.0,0,0,0,0,0,0.0,1652,0,0,0,0,31,18,0,0,9,Tottenham,Swansea,West Ham,Huddersfield,Brighton,4.5,2017,33,Y17W33
